   VR,    VL,     W
0.000, 0.000, 1.3973
5.632, 5.632, 0.0000
0.000, 0.000, 0.0067
5.856, 5.856, 0.0000
0.000, 0.000, 0.0006
5.876, 5.876, 0.0000
0.000, 0.000, -0.0055
5.691, 5.691, 0.0000
0.000, 0.000, -0.0127
5.302, 5.302, 0.0000
0.000, 0.000, -0.0235
4.711, 4.711, 0.0000
0.000, 0.000, -0.0427
3.921, 3.921, 0.0000
0.000, 0.000, -0.0858
2.946, 2.946, 0.0000
0.000, 0.000, -0.0890
7.642, 7.642, 0.0000
0.000, 0.000, -0.0209
7.307, 7.307, 0.0000
0.000, 0.000, -0.0233
6.969, 6.969, 0.0000
0.000, 0.000, -0.0262
6.629, 6.629, 0.0000
0.000, 0.000, -0.0295
6.288, 6.288, 0.0000
0.000, 0.000, -0.0335
5.948, 5.948, 0.0000
0.000, 0.000, -0.0382
5.610, 5.610, 0.0000
0.000, 0.000, -0.0437
5.276, 5.276, 0.0000
0.000, 0.000, -0.0504
4.948, 4.948, 0.0000
0.000, 0.000, -0.0584
4.630, 4.630, 0.0000
0.000, 0.000, -0.0678
4.325, 4.325, 0.0000
0.000, 0.000, -0.0790
4.038, 4.038, 0.0000
0.000, 0.000, -0.0919
3.777, 3.777, 0.0000
0.000, 0.000, -0.1061
3.549, 3.549, 0.0000
0.000, 0.000, -0.1210
3.364, 3.364, 0.0000
0.000, 0.000, -0.1349
3.232, 3.232, 0.0000
0.000, 0.000, -0.1456
3.163, 3.163, 0.0000
0.000, 0.000, -0.2413
2.932, 2.932, 0.0000
0.000, 0.000, -0.2846
3.213, 3.213, 0.0000
0.000, 0.000, -0.2064
3.653, 3.653, 0.0000
0.000, 0.000, -0.1432
4.152, 4.152, 0.0000
0.000, 0.000, -0.0997
4.653, 4.653, 0.0000
0.000, 0.000, -0.0707
5.122, 5.122, 0.0000
0.000, 0.000, -0.0509
5.541, 5.541, 0.0000
0.000, 0.000, -0.0368
5.899, 5.899, 0.0000
0.000, 0.000, -0.0263
6.191, 6.191, 0.0000
0.000, 0.000, -0.0182
6.413, 6.413, 0.0000
0.000, 0.000, -0.0114
6.562, 6.562, 0.0000
0.000, 0.000, -0.0055
6.637, 6.637, 0.0000
0.000, 0.000, 0.0000
6.637, 6.637, 0.0000
0.000, 0.000, 0.0055
6.562, 6.562, 0.0000
0.000, 0.000, 0.0114
6.413, 6.413, 0.0000
0.000, 0.000, 0.0182
6.191, 6.191, 0.0000
0.000, 0.000, 0.0263
5.899, 5.899, 0.0000
0.000, 0.000, 0.0368
5.541, 5.541, 0.0000
0.000, 0.000, 0.0509
5.122, 5.122, 0.0000
0.000, 0.000, 0.0707
4.653, 4.653, 0.0000
0.000, 0.000, 0.0997
4.152, 4.152, 0.0000
0.000, 0.000, 0.1432
3.653, 3.653, 0.0000
0.000, 0.000, 0.2064
3.213, 3.213, 0.0000
0.000, 0.000, 0.2846
2.932, 2.932, 0.0000
0.000, 0.000, 0.3801
1.396, 1.396, 0.0000
0.000, 0.000, 0.3549
1.619, 1.619, 0.0000
0.000, 0.000, 0.2375
1.971, 1.971, 0.0000
0.000, 0.000, 0.1534
2.377, 2.377, 0.0000
0.000, 0.000, 0.1025
2.801, 2.801, 0.0000
0.000, 0.000, 0.0717
3.224, 3.224, 0.0000
0.000, 0.000, 0.0523
3.635, 3.635, 0.0000
0.000, 0.000, 0.0394
4.031, 4.031, 0.0000
0.000, 0.000, 0.0306
4.407, 4.407, 0.0000
0.000, 0.000, 0.0242
4.763, 4.763, 0.0000
0.000, 0.000, 0.0195
5.097, 5.097, 0.0000
0.000, 0.000, 0.0159
5.407, 5.407, 0.0000
0.000, 0.000, 0.0131
5.695, 5.695, 0.0000
0.000, 0.000, 0.0109
5.958, 5.958, 0.0000
0.000, 0.000, 0.0091
6.198, 6.198, 0.0000
0.000, 0.000, 0.0076
6.413, 6.413, 0.0000
0.000, 0.000, 0.0063
6.603, 6.603, 0.0000
0.000, 0.000, 0.0052
6.769, 6.769, 0.0000
0.000, 0.000, 0.0042
6.910, 6.910, 0.0000
0.000, 0.000, 0.0033
7.027, 7.027, 0.0000
0.000, 0.000, 0.0025
7.118, 7.118, 0.0000
0.000, 0.000, 0.0018
7.185, 7.185, 0.0000
0.000, 0.000, 0.0011
7.227, 7.227, 0.0000
0.000, 0.000, 0.0004
7.244, 7.244, 0.0000
0.000, 0.000, -0.0002
7.236, 7.236, 0.0000
