   VR,    VL,     W
0.000, 0.000, 1.3973
7.236, 7.236, 0.0000
0.000, 0.000, 0.0067
7.236, 7.236, 0.0000
0.000, 0.000, 0.0006
7.236, 7.236, 0.0000
0.000, 0.000, -0.0055
7.236, 7.236, 0.0000
0.000, 0.000, -0.0127
7.236, 7.236, 0.0000
0.000, 0.000, -0.0235
7.236, 7.236, 0.0000
0.000, 0.000, -0.0427
7.236, 7.236, 0.0000
0.000, 0.000, -0.0858
7.236, 7.236, 0.0000
0.000, 0.000, -0.0890
7.236, 7.236, 0.0000
0.000, 0.000, -0.0209
7.236, 7.236, 0.0000
0.000, 0.000, -0.0233
7.236, 7.236, 0.0000
0.000, 0.000, -0.0262
7.236, 7.236, 0.0000
0.000, 0.000, -0.0295
7.236, 7.236, 0.0000
0.000, 0.000, -0.0335
7.236, 7.236, 0.0000
0.000, 0.000, -0.0382
7.236, 7.236, 0.0000
0.000, 0.000, -0.0437
7.236, 7.236, 0.0000
0.000, 0.000, -0.0504
7.236, 7.236, 0.0000
0.000, 0.000, -0.0584
7.236, 7.236, 0.0000
0.000, 0.000, -0.0678
7.236, 7.236, 0.0000
0.000, 0.000, -0.0790
7.236, 7.236, 0.0000
0.000, 0.000, -0.0919
7.236, 7.236, 0.0000
0.000, 0.000, -0.1061
7.236, 7.236, 0.0000
0.000, 0.000, -0.1210
7.236, 7.236, 0.0000
0.000, 0.000, -0.1349
7.236, 7.236, 0.0000
0.000, 0.000, -0.1456
7.236, 7.236, 0.0000
0.000, 0.000, -0.2413
7.236, 7.236, 0.0000
0.000, 0.000, -0.2846
7.236, 7.236, 0.0000
0.000, 0.000, -0.2064
7.236, 7.236, 0.0000
0.000, 0.000, -0.1432
7.236, 7.236, 0.0000
0.000, 0.000, -0.0997
7.236, 7.236, 0.0000
0.000, 0.000, -0.0707
7.236, 7.236, 0.0000
0.000, 0.000, -0.0509
7.236, 7.236, 0.0000
0.000, 0.000, -0.0368
7.236, 7.236, 0.0000
0.000, 0.000, -0.0263
7.236, 7.236, 0.0000
0.000, 0.000, -0.0182
7.236, 7.236, 0.0000
0.000, 0.000, -0.0114
7.236, 7.236, 0.0000
0.000, 0.000, -0.0055
7.236, 7.236, 0.0000
0.000, 0.000, 0.0000
7.236, 7.236, 0.0000
0.000, 0.000, 0.0055
7.236, 7.236, 0.0000
0.000, 0.000, 0.0114
7.236, 7.236, 0.0000
0.000, 0.000, 0.0182
7.236, 7.236, 0.0000
0.000, 0.000, 0.0263
7.236, 7.236, 0.0000
0.000, 0.000, 0.0368
7.236, 7.236, 0.0000
0.000, 0.000, 0.0509
7.236, 7.236, 0.0000
0.000, 0.000, 0.0707
7.236, 7.236, 0.0000
0.000, 0.000, 0.0997
7.236, 7.236, 0.0000
0.000, 0.000, 0.1432
7.236, 7.236, 0.0000
0.000, 0.000, 0.2064
7.236, 7.236, 0.0000
0.000, 0.000, 0.2846
7.236, 7.236, 0.0000
0.000, 0.000, 0.3801
7.236, 7.236, 0.0000
0.000, 0.000, 0.3549
7.236, 7.236, 0.0000
0.000, 0.000, 0.2375
7.236, 7.236, 0.0000
0.000, 0.000, 0.1534
7.236, 7.236, 0.0000
0.000, 0.000, 0.1025
7.236, 7.236, 0.0000
0.000, 0.000, 0.0717
7.236, 7.236, 0.0000
0.000, 0.000, 0.0523
7.236, 7.236, 0.0000
0.000, 0.000, 0.0394
7.236, 7.236, 0.0000
0.000, 0.000, 0.0306
7.236, 7.236, 0.0000
0.000, 0.000, 0.0242
7.236, 7.236, 0.0000
0.000, 0.000, 0.0195
7.236, 7.236, 0.0000
0.000, 0.000, 0.0159
7.236, 7.236, 0.0000
0.000, 0.000, 0.0131
7.236, 7.236, 0.0000
0.000, 0.000, 0.0109
7.236, 7.236, 0.0000
0.000, 0.000, 0.0091
7.236, 7.236, 0.0000
0.000, 0.000, 0.0076
7.236, 7.236, 0.0000
0.000, 0.000, 0.0063
7.236, 7.236, 0.0000
0.000, 0.000, 0.0052
7.236, 7.236, 0.0000
0.000, 0.000, 0.0042
7.236, 7.236, 0.0000
0.000, 0.000, 0.0033
7.236, 7.236, 0.0000
0.000, 0.000, 0.0025
7.236, 7.236, 0.0000
0.000, 0.000, 0.0018
7.236, 7.236, 0.0000
0.000, 0.000, 0.0011
7.236, 7.236, 0.0000
0.000, 0.000, 0.0004
7.236, 7.236, 0.0000
0.000, 0.000, -0.0002
7.236, 7.236, 0.0000
