    X,     T,    Th
0.000, 0.000, 0.0000
-0.214, 0.077, 1.4653
-0.103, 0.292, 1.3504
-0.122, 0.119, 1.3654
0.797, 5.087, 1.4640
0.817, 5.117, 1.4525
1.531, 10.281, 1.3721
1.536, 10.108, 1.3544
2.525, 14.959, 1.3443
2.552, 15.036, 1.3299
3.674, 19.820, 1.3196
3.606, 19.723, 1.3941
4.507, 24.741, 1.3927
4.507, 24.774, 1.3557
5.584, 29.538, 1.2956
5.611, 29.556, 1.2017
7.373, 34.120, 1.2803
7.393, 34.200, 1.0457
9.621, 38.553, 1.0009
9.503, 38.551, 1.1415
11.612, 43.245, 1.0709
11.606, 43.273, 1.1481
13.720, 47.824, 1.1782
13.720, 47.801, 1.1104
15.989, 52.298, 1.0968
16.036, 52.298, 1.0613
18.362, 56.726, 1.0673
18.300, 56.814, 0.9637
21.109, 60.886, 1.0031
21.173, 60.885, 1.0662
23.599, 65.271, 0.9203
23.633, 65.291, 0.9248
26.691, 69.194, 0.9722
26.722, 69.133, 0.9240
29.777, 73.127, 0.8945
29.899, 73.042, 0.7870
33.440, 76.556, 0.8079
33.383, 76.584, 0.7099
37.144, 79.899, 0.6652
37.131, 79.860, 0.7266
40.867, 83.147, 0.6823
40.901, 83.138, 0.6676
44.719, 86.129, 0.5890
44.783, 86.124, 0.4329
49.345, 88.168, 0.4523
49.356, 88.151, 0.3381
53.922, 89.866, 0.3688
53.984, 89.857, 0.1804
58.952, 90.731, 0.1964
58.934, 90.746, 0.0051
64.084, 90.932, -0.0368
63.883, 90.988, -0.0969
68.586, 90.303, -0.0986
68.765, 90.244, -0.4430
72.704, 88.270, -0.5397
72.688, 88.247, -0.7825
76.330, 84.878, -0.7510
76.376, 84.976, -0.8682
79.739, 81.290, -0.7592
79.782, 81.388, -0.8041
83.131, 77.899, -0.8601
83.213, 77.825, -0.9636
86.083, 73.731, -0.9733
86.007, 73.837, -0.9348
88.953, 69.815, -1.0126
88.968, 69.786, -1.0748
91.349, 65.418, -1.0607
91.331, 65.435, -1.0694
93.692, 61.006, -1.0656
93.676, 61.016, -1.0752
96.081, 56.640, -1.1231
96.067, 56.652, -1.0705
98.458, 52.279, -1.0782
98.438, 52.308, -1.0862
100.784, 47.887, -1.1160
100.764, 47.921, -1.1079
102.981, 43.405, -1.1731
102.955, 43.342, -1.1289
105.012, 38.799, -1.1287
105.050, 38.794, -1.1487
107.110, 34.232, -1.1230
107.033, 34.219, -1.1189
109.173, 29.609, -1.1160
108.970, 29.464, -1.1516
111.222, 24.937, -1.1080
111.269, 25.025, -1.0363
113.808, 20.645, -0.9309
113.842, 20.647, -0.9561
116.741, 16.633, -0.9728
116.802, 16.731, -0.9607
119.717, 12.603, -0.8795
119.738, 12.675, -0.8169
123.304, 9.218, -0.7974
123.340, 9.226, -0.6637
127.219, 6.280, -0.6616
127.245, 6.246, -0.4599
131.500, 4.174, -0.3901
131.636, 4.095, -0.1465
136.224, 3.424, -0.1606
136.163, 3.415, 0.2126
140.158, 4.260, 0.1813
140.298, 4.292, 0.5174
143.734, 6.449, 0.5057
144.048, 6.627, 0.7929
147.288, 10.058, 0.7865
147.262, 10.066, 0.9663
150.051, 14.096, 0.9831
150.057, 14.142, 1.0815
152.405, 18.460, 1.0046
152.428, 18.412, 1.1562
154.352, 23.052, 1.1261
154.390, 23.000, 1.2004
156.282, 27.626, 1.2122
156.256, 27.590, 1.2097
157.985, 32.310, 1.1790
157.979, 32.266, 1.2101
159.722, 36.970, 1.2669
159.650, 36.957, 1.3097
161.189, 41.740, 1.3060
161.078, 41.770, 1.2387
162.616, 46.531, 1.2624
162.510, 46.539, 1.2515
163.809, 51.395, 1.3300
163.753, 51.371, 1.3432
164.795, 56.318, 1.3197
164.794, 56.291, 1.3541
165.992, 61.163, 1.3117
165.965, 61.144, 1.3937
166.683, 66.150, 1.3217
166.611, 66.127, 1.3343
167.827, 71.003, 1.3699
167.921, 70.955, 1.3338
169.190, 75.816, 1.3313
169.341, 75.826, 1.3350
170.229, 80.701, 1.3922
170.363, 80.634, 1.4068
171.046, 85.634, 1.3155
171.011, 85.599, 1.3661
172.042, 90.529, 1.3903
172.136, 90.474, 1.3678
173.286, 95.403, 1.4446
173.214, 95.435, 1.2964
174.265, 100.302, 1.3933
174.262, 100.274, 1.3895
175.192, 105.232, 1.3785
175.173, 105.187, 1.4288
175.935, 110.136, 1.3566
175.843, 110.124, 1.4557
176.485, 114.985, 1.3880
